ID_LAT_LON_YEAR_WEEK,emission
ID_-23.53_27.47_2019_1,
ID_-23.53_27.47_2019_2,
ID_-23.53_27.47_2019_3,
ID_-23.53_27.47_2019_4,
ID_-23.53_27.47_2019_5,
ID_-23.53_27.47_2019_6,
ID_-23.53_27.47_2019_7,
ID_-23.53_27.47_2019_8,
ID_-23.53_27.47_2019_9,
ID_-23.53_27.47_2019_10,
ID_-23.53_27.47_2019_11,
ID_-23.53_27.47_2019_12,
ID_-23.53_27.47_2019_13,
ID_-23.53_27.47_2019_14,
ID_-23.53_27.47_2019_15,
ID_-23.53_27.47_2019_16,
ID_-23.53_27.47_2019_17,
ID_-23.53_27.47_2019_18,
ID_-23.53_27.47_2019_19,
ID_-23.53_27.47_2019_20,
ID_-23.53_27.47_2019_21,
ID_-23.53_27.47_2019_22,
ID_-23.53_27.47_2019_23,
ID_-23.53_27.47_2019_24,
ID_-23.53_27.47_2019_25,
ID_-23.53_27.47_2019_26,
ID_-23.53_27.47_2019_27,
ID_-23.53_27.47_2019_28,
ID_-23.53_27.47_2019_29,
ID_-23.53_27.47_2019_30,
ID_-23.53_27.47_2019_31,
ID_-23.53_27.47_2019_32,
ID_-23.53_27.47_2019_33,
ID_-23.53_27.47_2019_34,
ID_-23.53_27.47_2019_35,
ID_-23.53_27.47_2019_36,
ID_-23.53_27.47_2019_37,
ID_-23.53_27.47_2019_38,
ID_-23.53_27.47_2019_39,
ID_-23.53_27.47_2019_40,
ID_-23.53_27.47_2019_41,
ID_-23.53_27.47_2019_42,
ID_-23.53_27.47_2019_43,
ID_-23.53_27.47_2019_44,
ID_-23.53_27.47_2019_45,
ID_-23.53_27.47_2019_46,
ID_-23.53_27.47_2019_47,
ID_-23.53_27.47_2019_48,
ID_-23.53_27.47_2019_49,
ID_-23.53_27.47_2019_50,
ID_-23.53_27.47_2019_51,
ID_-23.53_27.47_2019_52,
ID_-23.53_27.47_2020_1,
ID_-23.53_27.47_2020_2,
ID_-23.53_27.47_2020_3,
ID_-23.53_27.47_2020_4,
ID_-23.53_27.47_2020_5,
ID_-23.53_27.47_2020_6,
ID_-23.53_27.47_2020_7,
ID_-23.53_27.47_2020_8,
ID_-23.53_27.47_2020_9,
ID_-23.53_27.47_2020_10,
ID_-23.53_27.47_2020_11,
ID_-23.53_27.47_2020_12,
ID_-23.53_27.47_2020_13,
ID_-23.53_27.47_2020_14,
ID_-23.53_27.47_2020_15,
ID_-23.53_27.47_2020_16,
ID_-23.53_27.47_2020_17,
ID_-23.53_27.47_2020_18,
ID_-23.53_27.47_2020_19,
ID_-23.53_27.47_2020_20,
ID_-23.53_27.47_2020_21,
ID_-23.53_27.47_2020_22,
ID_-23.53_27.47_2020_23,
ID_-23.53_27.47_2020_24,
ID_-23.53_27.47_2020_25,
ID_-23.53_27.47_2020_26,
ID_-23.53_27.47_2020_27,
ID_-23.53_27.47_2020_28,
ID_-23.53_27.47_2020_29,
ID_-23.53_27.47_2020_30,
ID_-23.53_27.47_2020_31,
ID_-23.53_27.47_2020_32,
ID_-23.53_27.47_2020_33,
ID_-23.53_27.47_2020_34,
ID_-23.53_27.47_2020_35,
ID_-23.53_27.47_2020_36,
ID_-23.53_27.47_2020_37,
ID_-23.53_27.47_2020_38,
ID_-23.53_27.47_2020_39,
ID_-23.53_27.47_2020_40,
ID_-23.53_27.47_2020_41,
ID_-23.53_27.47_2020_42,
ID_-23.53_27.47_2020_43,
ID_-23.53_27.47_2020_44,
ID_-23.53_27.47_2020_45,
ID_-23.53_27.47_2020_46,
ID_-23.53_27.47_2020_47,
ID_-23.53_27.47_2020_48,
ID_-23.53_27.47_2020_49,
ID_-23.53_27.47_2020_50,
ID_-23.53_27.47_2020_51,
ID_-23.53_27.47_2020_52,
ID_-23.53_27.47_2021_1,
ID_-23.53_27.47_2021_2,
ID_-23.53_27.47_2021_3,
ID_-23.53_27.47_2021_4,
ID_-23.53_27.47_2021_5,
ID_-23.53_27.47_2021_6,
ID_-23.53_27.47_2021_7,
ID_-23.53_27.47_2021_8,
ID_-23.53_27.47_2021_9,
